source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T2-4 Karnataka/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/area/SCvsST,AgCensus2015-16,T2-4,Karnataka,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/number/SCvsST,AgCensus2015-16,T2-4,Karnataka,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,SC,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Karnataka,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Karnataka,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Karnataka,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Karnataka,SC,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Karnataka,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Karnataka,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/area/MarginalvsMedium,AgCensus2015-16,T2-4,Karnataka,ST,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,1,1,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,1,1,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Karnataka,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Karnataka,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Karnataka,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Karnataka,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Karnataka,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Karnataka,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Karnataka,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Karnataka,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Small/area/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Small,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Small/area/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Small,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Karnataka/Small/number/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Kerala,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Kerala,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Kerala,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Kerala,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All/area/MediumvsLarge,AgCensus2015-16,T2-4,Kerala,All,area,MediumvsLarge,landholding,medium operated area,large operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All/area/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Kerala,All,area,Semi-mediumvsLarge,landholding,semi-medium operated area,large operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Kerala,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Kerala,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Kerala,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Kerala,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Kerala,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Kerala,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Kerala,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Kerala,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Kerala,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Kerala,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Kerala,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Kerala,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Kerala,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,2,2,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Kerala,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Kerala,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Kerala,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Kerala,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Kerala/Small/number/STvsOthers,AgCensus2015-16,T2-4,Kerala,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,3,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,All,area,SmallvsMedium,landholding,small operated area,medium operated area,4,0,0,4,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Large/number/SCvsST,AgCensus2015-16,T2-4,Madhya Pradesh,Large,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Large/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Madhya Pradesh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/SC/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Madhya Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Madhya Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Maharashtra,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Maharashtra,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Maharashtra,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Maharashtra,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,Maharashtra,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Maharashtra,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Maharashtra,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Maharashtra,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Maharashtra,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Maharashtra,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Maharashtra,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,1,0,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Maharashtra,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Maharashtra,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/Large/area/SCvsST,AgCensus2015-16,T2-4,Maharashtra,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,,,,,,unverified,,,,,
AgCensus2015-16 T2-4 Maharashtra/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Maharashtra,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,,,,,,unverified,,,,,
