source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T2-4 Jharkhand/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Jharkhand,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,"Table 2, PDF pages 25,27,30",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/All/number=2803,14.9482697110,0.7135212273,raw Small=419; raw Large=20; construction fact=f00829; stored gap=14.23 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Jharkhand,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,"Table 2, PDF pages 25,27,29",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/All/number=2803,14.9482697110,4.4951837317,raw Small=419; raw Medium=126; construction fact=f00828; stored gap=10.45 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,"Tables 2-4, PDF pages 30,36,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Large/area=304,5.5921052632,34.5394736842,raw SC=17; raw Others=105; construction fact=f00490; stored gap=28.95 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Large/area/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,"Tables 2-4, PDF pages 30,36,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Large/area=304,5.5921052632,59.8684210526,raw SC=17; raw ST=182; construction fact=f00489; stored gap=54.28 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Large/area/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,"Tables 2-4, PDF pages 30,36,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Large/area=304,59.8684210526,34.5394736842,raw ST=182; raw Others=105; construction fact=f00491; stored gap=25.33 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,"Tables 2-4, PDF pages 30,36,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Jharkhand/Large/number=20,5.0000000000,35.0000000000,raw SC=1; raw Others=7; construction fact=f00123; stored gap=30.0 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Large/number/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,a,"Tables 2-4, PDF pages 30,36,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Jharkhand/Large/number=20,60.0000000000,35.0000000000,raw ST=12; raw Others=7; construction fact=f00124; stored gap=25.0 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,"Tables 2-4, PDF pages 26,32,38",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Marginal/area=754,15.7824933687,50.6631299735,raw SC=119; raw Others=382; construction fact=f00493; stored gap=34.88 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,"Tables 2-4, PDF pages 26,32,38",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Marginal/area=754,15.7824933687,33.5543766578,raw SC=119; raw ST=253; construction fact=f00492; stored gap=17.77 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,"Tables 2-4, PDF pages 26,32,38",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Marginal/area=754,33.5543766578,50.6631299735,raw ST=253; raw Others=382; construction fact=f00494; stored gap=17.11 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,"Tables 2-4, PDF pages 26,32,38",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Jharkhand/Marginal/number=1962,15.3414882773,53.6697247706,raw SC=301; raw Others=1053; construction fact=f00126; stored gap=38.33 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,"Tables 2-4, PDF pages 26,32,38",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Jharkhand/Marginal/number=1962,15.3414882773,30.9887869521,raw SC=301; raw ST=608; construction fact=f00125; stored gap=15.65 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,"Tables 2-4, PDF pages 26,32,38",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Jharkhand/Marginal/number=1962,30.9887869521,53.6697247706,raw ST=608; raw Others=1053; construction fact=f00127; stored gap=22.68 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,"Tables 2-4, PDF pages 29,35,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Medium/area=708,7.0621468927,39.8305084746,raw SC=50; raw Others=282; construction fact=f00496; stored gap=32.77 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Medium/area/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,"Tables 2-4, PDF pages 29,35,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Medium/area=708,7.0621468927,53.1073446328,raw SC=50; raw ST=376; construction fact=f00495; stored gap=46.05 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,a,"Tables 2-4, PDF pages 29,35,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All-social-groups total for Jharkhand/Medium/area=708,53.1073446328,39.8305084746,raw ST=376; raw Others=282; construction fact=f00497; stored gap=13.28 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,"Tables 2-4, PDF pages 29,35,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Jharkhand/Medium/number=126,7.1428571429,40.4761904762,raw SC=9; raw Others=51; construction fact=f00129; stored gap=33.33 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Medium/number/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,"Tables 2-4, PDF pages 29,35,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Jharkhand/Medium/number=126,7.1428571429,52.3809523810,raw SC=9; raw ST=66; construction fact=f00128; stored gap=45.24 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,b,True
AgCensus2015-16 T2-4 Jharkhand/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,"Tables 2-4, PDF pages 29,35,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All-social-groups total for Jharkhand/Medium/number=126,52.3809523810,40.4761904762,raw ST=66; raw Others=51; construction fact=f00130; stored gap=11.9 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/SC/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Jharkhand,SC,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,3,0,0,equal,c,"Table 3, PDF pages 31,34,35",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Jharkhand/SC/area=310,20.3225806452,16.1290322581,raw Semi-medium=63; raw Medium=50; construction fact=f01662; stored gap=4.19 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Jharkhand/SC/area/SmallvsMedium,AgCensus2015-16,T2-4,Jharkhand,SC,area,SmallvsMedium,landholding,small operated area,medium operated area,4,4,0,0,equal,c,"Table 3, PDF pages 31,33,35",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Jharkhand/SC/area=310,19.6774193548,16.1290322581,raw Small=61; raw Medium=50; construction fact=f01660; stored gap=3.55 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Jharkhand/SC/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Jharkhand,SC,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,"Table 3, PDF pages 31,33,34",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Jharkhand/SC/area=310,19.6774193548,20.3225806452,raw Small=61; raw Semi-medium=63; construction fact=f01659; stored gap=0.65 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Jharkhand/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Jharkhand,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,"Table 3, PDF pages 31,32,36",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/SC/number=379,79.4195250660,0.2638522427,raw Marginal=301; raw Large=1; construction fact=f01028; stored gap=79.16 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Jharkhand,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,"Table 3, PDF pages 31,32,35",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/SC/number=379,79.4195250660,2.3746701847,raw Marginal=301; raw Medium=9; construction fact=f01027; stored gap=77.04 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Jharkhand,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,"Table 3, PDF pages 31,32,34",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/SC/number=379,79.4195250660,6.0686015831,raw Marginal=301; raw Semi-medium=23; construction fact=f01026; stored gap=73.35 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Jharkhand,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,"Table 3, PDF pages 31,32,33",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/SC/number=379,79.4195250660,11.8733509235,raw Marginal=301; raw Small=45; construction fact=f01025; stored gap=67.55 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Jharkhand,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,0,0,3,equal,c,"Table 3, PDF pages 31,34,35",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/SC/number=379,6.0686015831,2.3746701847,raw Semi-medium=23; raw Medium=9; construction fact=f01030; stored gap=3.69 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Jharkhand/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Jharkhand,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,"Table 3, PDF pages 31,33,36",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/SC/number=379,11.8733509235,0.2638522427,raw Small=45; raw Large=1; construction fact=f01029; stored gap=11.61 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
AgCensus2015-16 T2-4 Jharkhand/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Jharkhand,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,0,0,1,equal,c,"Table 4, PDF pages 37,38,39",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Jharkhand/ST/area=1388,18.2276657061,16.4985590778,raw Marginal=253; raw Small=229; construction fact=f01837; stored gap=1.73 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Jharkhand/ST/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Jharkhand,ST,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,1,1,0,0,equal,c,"Table 4, PDF pages 37,40,41",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Jharkhand/ST/area=1388,25.0720461095,27.0893371758,raw Semi-medium=348; raw Medium=376; construction fact=f01840; stored gap=2.02 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Jharkhand/ST/area/SmallvsLarge,AgCensus2015-16,T2-4,Jharkhand,ST,area,SmallvsLarge,landholding,small operated area,large operated area,1,0,0,1,equal,c,"Table 4, PDF pages 37,39,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw operated area in thousand hectares,All Classes total for Jharkhand/ST/area=1388,16.4985590778,13.1123919308,raw Small=229; raw Large=182; construction fact=f01839; stored gap=3.39 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,equal,c,True
AgCensus2015-16 T2-4 Jharkhand/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Jharkhand,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,"Table 4, PDF pages 37,38,42",https://www.fao.org/fileadmin/templates/ess/ess_test_folder/World_Census_Agriculture/WCA_2020/WCA_2020_new_doc/IND_REP_ENG_2015_2016.pdf | archived_sha256=fb01bcb922a38ef964a2ca2fddada5540426bf5b06317d931425ae8d699d6405,archived a1_extract.py/a1b_gender.py; shares independently recomputed from numeric CSV,percentage share (0-100); raw number of holdings in thousands,All Classes total for Jharkhand/ST/number=979,62.1041879469,1.2257405516,raw Marginal=608; raw Large=12; construction fact=f01184; stored gap=60.88 pp,recomputed_from_archived_official_report,deterministic_source_reconstruction_v1,2026-09-13,,,,diff,a,True
